City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,mont-dore,-22.2833,166.5833,20.57,81,100,0.45,NC,1730646812
200,senekal,-28.3197,27.6208,24.66,37,73,13.63,ZA,1730646813
201,mili,6.0815,171.735,25.99,84,100,3.72,MH,1730646814
202,barra de santo antonio,-9.4047,-35.5072,27.53,57,14,4.87,BR,1730646816
203,georgetown,5.4112,100.3354,28.96,78,20,1.54,MY,1730646818
204,westport,41.1415,-73.3579,8.78,55,0,5.14,US,1730646819
205,fort st. john,56.2499,-120.8529,-4.5,88,63,1.59,CA,1730646820
206,red deer,52.2668,-113.802,-3.73,100,100,2.57,CA,1730646821
207,axim,4.8699,-2.2405,28.72,68,22,3.32,GH,1730646822
208,kutum,14.2,24.6667,28.87,18,26,2.09,SD,1730646823
209,mangai,-4.05,19.5333,27.25,66,79,0.75,CD,1730646825
210,salalah,17.0151,54.0924,29.05,74,75,1.03,OM,1730646826
211,powell,40.1578,-83.0752,13.39,58,0,4.63,US,1730646827
212,petropavlovsk-kamchatsky,53.0452,158.6483,-4.53,71,47,4.51,RU,1730646768
213,paracuru,-3.41,-39.0306,30.16,55,100,8.04,BR,1730646829
214,nadi,-17.8,177.4167,24.0,78,40,3.6,FJ,1730646831
215,agropoli,40.3469,14.9966,19.72,59,8,1.28,IT,1730646833
216,sao felix do xingu,-6.6447,-51.995,37.63,32,50,1.43,BR,1730646834
217,mirny,62.5353,113.9611,-24.41,100,99,1.2,RU,1730646835
218,vilyuchinsk,52.9306,158.4028,-4.93,76,43,3.73,RU,1730646836
219,khandyga,62.6667,135.6,-19.24,94,100,0.7,RU,1730646837
220,wad az zaki,14.4619,32.2065,33.38,13,2,6.17,SD,1730646838
221,malabar,-33.9667,151.25,22.58,74,100,3.09,AU,1730646840
222,badger,64.8,-147.5333,-6.07,86,0,3.6,US,1730646841
223,anadyr,64.75,177.4833,-9.72,72,0,8.0,RU,1730646842
224,ust'-ilimsk,58.0006,102.6619,-10.53,96,21,1.63,RU,1730646843
225,boguchany,58.3814,97.4531,-7.15,75,55,1.77,RU,1730646844
226,mount pearl,47.5166,-52.7813,5.25,59,75,6.69,CA,1730646845
227,paramonga,-10.6667,-77.8333,20.28,77,70,4.62,PE,1730646846
228,pionerskiy,54.9508,20.2275,8.91,88,100,15.61,RU,1730646848
229,najran,17.4924,44.1277,23.27,19,0,4.96,SA,1730646849
230,daday,41.4787,33.4667,3.49,84,100,2.12,TR,1730646850
231,buka,40.8108,69.1986,17.27,38,6,1.33,UZ,1730646851
232,mbanza kongo,-6.267,14.2401,26.92,67,100,1.47,AO,1730646852
233,sandpoint,48.2766,-116.5533,4.29,96,100,2.06,US,1730646780
234,indramayu,-6.3264,108.32,25.88,84,100,3.41,ID,1730646855
235,smidovich,48.6,133.8167,-0.14,65,100,1.6,RU,1730646856
236,kuching,1.55,110.3333,26.12,98,20,1.03,MY,1730646857
237,dodge city,37.7528,-100.0171,14.57,90,20,7.72,US,1730646858
238,weno,7.4515,151.8468,27.97,83,100,2.57,FM,1730646859
239,fortaleza,-3.7227,-38.5247,31.07,58,40,8.75,BR,1730646860
240,areia branca,-4.9561,-37.1369,30.09,55,87,9.38,BR,1730646861
241,mogocha,53.7333,119.7667,-10.69,84,20,1.26,RU,1730646863
242,lihue,21.9789,-159.3672,24.77,84,20,6.69,US,1730646851
243,palikir - national government center,6.9248,158.1611,28.0,70,56,1.07,FM,1730646865
244,mount darwin,-16.7725,31.5838,32.69,18,11,3.53,ZW,1730646866
245,thompson,55.7435,-97.8558,-2.91,93,100,1.54,CA,1730646867
246,portland,45.5234,-122.6762,10.18,94,71,2.24,US,1730646303
247,lospalos,-8.5186,127.0025,23.11,90,96,2.0,TL,1730646869
248,lindesberg,59.592,15.2304,11.18,76,95,7.29,SE,1730646871
249,jefferson city,38.5767,-92.1735,19.38,80,100,7.2,US,1730646872
250,elliot lake,46.3834,-82.6331,4.84,71,100,2.85,CA,1730646873
251,khorixas,-20.3667,14.9667,35.14,10,86,9.56,NA,1730646874
252,karagandy,49.8019,73.1021,9.97,62,11,8.26,KZ,1730646875
253,indre arna,60.4247,5.4764,10.12,94,100,1.56,NO,1730646876
254,nagqu,31.5,92.0,-0.12,27,100,2.09,CN,1730646879
255,queenstown,-31.8976,26.8753,24.79,45,97,1.54,ZA,1730646880
256,antsiranana,-12.2787,49.2917,27.42,69,20,5.14,MG,1730646881
257,la ronge,55.1001,-105.2842,2.14,93,100,2.06,CA,1730646882
258,francisco sa,-16.4758,-43.4883,29.19,50,94,3.44,BR,1730646883
259,vila velha,-20.3297,-40.2925,27.97,82,75,4.63,BR,1730646884
260,gadzhiyevo,69.2551,33.3362,-0.93,85,100,9.75,RU,1730646886
261,brookings,44.3114,-96.7984,8.99,95,100,5.14,US,1730646887
262,sullivan,36.5168,-82.5332,18.93,71,75,2.06,US,1730646888
263,luwuk,-0.9516,122.7875,23.47,88,58,1.22,ID,1730646889
264,polyarnyy,69.1989,33.4478,-0.98,83,100,9.4,RU,1730646890
265,paka,4.6374,103.4368,23.88,100,11,0.4,MY,1730646893
266,el calafate,-50.3408,-72.2768,8.49,64,80,3.06,AR,1730646894
267,sandnessjoen,66.0217,12.6316,4.06,87,75,7.2,NO,1730646895
268,canutama,-6.5339,-64.3831,39.15,30,100,1.13,BR,1730646896
269,thunder bay,48.4001,-89.3168,0.99,100,100,1.03,CA,1730646897
270,balykshi,47.0667,51.8667,3.0,93,75,4.0,KZ,1730646898
271,santa eulalia,-11.85,-76.6833,18.61,51,87,4.41,PE,1730646900
272,okha,53.5739,142.9478,-2.63,76,100,5.64,RU,1730646901
273,namtsy,62.7161,129.6658,-24.7,99,100,0.87,RU,1730646902
274,mulayjah,27.271,48.4242,26.89,51,0,4.63,SA,1730646903
275,aldan,58.6031,125.3894,-12.04,97,100,0.64,RU,1730646904
276,mkushi,-13.6202,29.3939,28.65,36,74,3.94,ZM,1730646905
277,graaff-reinet,-32.2522,24.5308,31.07,30,40,4.79,ZA,1730646906
278,nema,57.5067,50.5011,-2.65,74,100,6.32,RU,1730646908
279,malvan,16.0667,73.4667,28.81,76,90,3.19,IN,1730646909
280,changji,44.0167,87.3167,7.44,76,0,2.0,CN,1730646910
281,san antonio de pale,-1.4014,5.6325,25.53,81,48,5.76,GQ,1730646911
282,hawaiian paradise park,19.5933,-154.9731,21.05,100,100,2.57,US,1730646912
283,vila do maio,15.1333,-23.2167,26.5,77,7,6.41,CV,1730646913
284,wenling,28.3669,121.36,16.89,86,2,2.1,CN,1730646914
285,hermanus,-34.4187,19.2345,17.11,73,100,11.13,ZA,1730646916
286,nar'yan-mar,67.6713,53.087,-6.02,91,100,4.14,RU,1730646917
287,archangelos,36.2149,28.1149,21.28,59,4,5.35,GR,1730646918
288,belmonte,-15.8631,-38.8828,26.32,75,95,3.84,BR,1730646919
289,divnoye,45.9089,43.3547,5.8,61,49,6.51,RU,1730646920
290,sur,22.5667,59.5289,28.96,46,0,0.9,OM,1730646921
291,svetlogorsk,52.6333,29.7333,4.35,61,100,5.66,BY,1730646922
292,amahai,-3.3333,128.9167,26.57,82,82,2.21,ID,1730646924
293,barra dos coqueiros,-10.9089,-37.0386,29.01,65,40,6.69,BR,1730646925
294,flin flon,54.7682,-101.865,3.91,93,100,4.63,CA,1730646926
295,vila franca do campo,37.7167,-25.4333,21.23,99,61,10.43,PT,1730646927
296,whitehorse,60.7161,-135.0538,-0.55,86,100,6.71,CA,1730646928
297,rahachow,53.0934,30.0495,3.97,64,100,7.0,BY,1730646929
298,yaren,-0.5472,166.916,28.53,66,44,3.07,NR,1730646930
299,punta cardon,11.6581,-70.215,28.7,69,83,1.82,VE,1730646932
300,terbanggi besar,-4.8667,105.2333,25.59,86,100,3.46,ID,1730646933
301,gueret,46.1667,1.8667,18.63,64,0,1.4,FR,1730646934
302,peace river,56.2501,-117.286,-2.41,99,100,3.09,CA,1730646935
303,rockingham,42.9668,-71.0995,6.51,58,30,1.34,US,1730646936
304,ravels,51.372,4.9904,7.9,68,7,1.99,BE,1730646937
305,haiku-pauwela,20.9219,-156.3051,22.33,82,99,5.36,US,1730646938
306,altai,46.3722,96.2583,-4.91,53,47,1.96,MN,1730646940
307,sabang,5.8933,95.3214,28.16,77,100,4.88,ID,1730646941
308,khash,28.2211,61.2158,23.48,17,0,3.33,IR,1730646942
309,susuman,62.7833,148.1667,-21.12,99,98,1.61,RU,1730646943
310,lucapa,-8.4192,20.7447,24.1,75,100,1.01,AO,1730646944
311,yuzhno-kurilsk,44.0306,145.8556,5.95,83,80,2.44,RU,1730646945
312,usogorsk,63.4106,48.6872,-0.44,86,100,5.93,RU,1730646946
313,biala podlaska,52.0324,23.1165,6.69,33,64,7.06,PL,1730646948
314,huancavelica,-12.7667,-74.9833,7.3,60,100,1.96,PE,1730646949
315,la passe,45.5549,-0.8967,19.38,65,5,2.34,FR,1730646950
316,kalajoki,64.25,23.95,3.28,81,97,4.46,FI,1730646951
317,santa elena de uairen,4.6167,-61.1333,28.76,42,100,3.48,VE,1730646954
318,trinity beach,-16.7888,145.6968,23.94,78,37,4.12,AU,1730646955
319,medina,24.4686,39.6142,31.24,35,20,6.17,SA,1730646956
320,gorno-altaysk,51.9561,85.955,6.12,74,96,2.45,RU,1730646957
321,myitkyina,25.3833,97.4,22.5,82,0,0.74,MM,1730646958
322,nova sintra,14.8667,-24.7167,25.75,82,32,10.0,CV,1730646959
323,lianzhou,24.7811,112.3825,20.63,73,99,1.48,CN,1730646960
324,khorramabad,33.4878,48.3558,15.79,77,100,2.06,IR,1730646962
325,newman,37.3138,-121.0208,7.81,84,0,0.45,US,1730646963
326,antsohihy,-14.8796,47.9875,28.4,67,0,4.48,MG,1730646964
327,bamiantong,44.9333,130.5333,1.84,100,100,1.38,CN,1730646965
328,mossel bay,-34.1831,22.146,18.96,71,73,6.37,ZA,1730646966
329,glendive,47.1053,-104.7125,6.79,56,20,7.2,US,1730646967
330,i-n-salah,27.1935,2.4607,34.33,11,80,3.33,DZ,1730646968
331,vung tau,10.346,107.0843,26.85,83,11,5.73,VN,1730646970
332,jincheng,35.5022,112.8328,12.78,32,46,3.4,CN,1730646971
333,montepuez,-13.1256,38.9997,32.28,36,92,3.52,MZ,1730646972
334,bayganin,48.6947,55.8742,3.6,48,100,3.39,KZ,1730646973
335,puri,19.8,85.85,26.63,65,6,1.73,IN,1730646974
336,marang,5.2056,103.2059,25.95,82,12,0.85,MY,1730646975
337,altay,47.8667,88.1167,-0.36,69,63,3.46,CN,1730646977
338,bel ombre,-4.6167,55.4167,26.91,74,20,1.03,SC,1730646978
339,kuala tungkal,-0.8167,103.4667,25.44,88,100,0.85,ID,1730646979
340,yung shue wan,22.2333,114.1167,25.93,82,97,0.89,HK,1730646981
341,maxixe,-23.8597,35.3472,26.9,74,0,6.69,MZ,1730646983
342,swift current,50.2834,-107.8014,-1.55,93,0,6.17,CA,1730646984
343,baise city,23.8997,106.6133,20.04,73,0,0.95,CN,1730646985
344,kapa'a,22.0752,-159.319,25.18,89,20,6.69,US,1730646986
345,fortuna,40.5982,-124.1573,10.52,96,20,3.09,US,1730646987
346,praia da vitoria,38.7333,-27.0667,22.14,78,20,8.0,PT,1730646988
347,pathein,16.7833,94.7333,25.66,79,39,1.79,MM,1730646990
348,flying fish cove,-10.4217,105.6791,26.82,94,100,3.6,CX,1730646991
349,taltal,-25.4,-70.4833,17.22,72,42,2.9,CL,1730646992
350,turka,49.1541,23.0297,2.47,40,21,1.74,UA,1730646993
351,dudinka,69.4058,86.1778,-8.2,87,85,5.8,RU,1730646994
352,luganville,-15.5333,167.1667,25.11,87,100,3.43,VU,1730646995
353,ishinomaki,38.4167,141.3,9.63,74,0,1.72,JP,1730646997
354,ushibukamachi,32.1906,130.0228,19.85,68,1,3.44,JP,1730646998
355,malindi,-3.2175,40.1191,27.03,75,23,5.41,KE,1730646999
356,leninskoye,41.7589,69.3864,15.68,33,37,0.99,KZ,1730647000
357,ulladulla,-35.35,150.4667,15.21,82,99,3.45,AU,1730647001
358,pontianak,-0.0333,109.3333,23.99,100,75,2.06,ID,1730647002
359,al qubbah,32.7616,22.2424,16.13,67,0,5.88,LY,1730647004
360,bom jesus,-9.0744,-44.3586,37.78,23,27,3.72,BR,1730647005
361,dingwall,57.5953,-4.4272,12.16,83,7,0.68,GB,1730647006
